System ID,Qty.
210000005610,-3
210000005625,-3
210000005628,-3
210000006393,-3
210000006439,-3
210000006465,-3
210000006520,-3
210000007578,-3
210000008394,-3
210000008402,-3
210000008931,-3
210000008934,-3
210000009028,-3
210000010293,-3
210000010339,-3
210000011238,-3
210000011615,-3
210000011637,-3
210000011638,-3
210000012309,-3
210000012341,-3
210000012363,-3
210000012378,-3
210000012381,-3
210000012870,-3
210000013081,-3
210000013083,-3
210000013887,-3
210000014017,-3
210000014402,-3
210000014958,-3
210000014960,-3
210000015103,-3
210000015114,-3
210000015242,-3
210000015453,-3
210000015550,-3
210000016920,-3
210000017189,-3
210000017637,-3
210000017641,-3
210000017723,-3
210000017806,-3
210000018043,-3
210000018126,-3
210000018272,-3
210000018307,-3
210000018480,-3
210000018488,-3
210000018911,-3
210000020521,-3
210000000255,-2
210000000312,-2
210000000318,-2
210000000372,-2
210000000966,-2
210000001215,-2
210000001408,-2
210000001426,-2
210000002847,-2
210000003075,-2
210000003094,-2
210000003111,-2
210000003159,-2
210000004983,-2
210000005423,-2
210000005442,-2
210000005469,-2
210000005485,-2
210000005932,-2
210000006369,-2
210000006372,-2
210000006373,-2
210000006411,-2
210000006427,-2
210000006434,-2
210000006721,-2
210000007010,-2
210000007146,-2
210000008078,-2
210000008271,-2
210000008404,-2
210000008423,-2
210000008456,-2
210000008892,-2
210000008915,-2
210000009222,-2
210000009350,-2
210000009352,-2
210000009480,-2
210000010454,-2
210000010462,-2
210000010465,-2
210000010480,-2
210000011240,-2
210000011603,-2
210000011749,-2
210000011751,-2
210000011823,-2
210000012077,-2
210000012085,-2
210000012291,-2
210000012329,-2
210000012340,-2
210000012346,-2
210000012360,-2
210000012366,-2
210000012371,-2
210000012531,-2
210000012594,-2
210000013095,-2
210000013096,-2
210000013102,-2
210000013105,-2
210000013107,-2
210000013141,-2
210000013374,-2
210000013375,-2
210000013410,-2
210000013668,-2
210000013943,-2
210000014013,-2
210000014056,-2
210000014295,-2
210000014345,-2
210000014466,-2
210000014558,-2
210000014669,-2
210000014736,-2
210000014894,-2
210000014918,-2
210000015307,-2
210000015549,-2
210000015697,-2
210000015740,-2
210000016644,-2
210000016910,-2
210000016958,-2
210000017148,-2
210000017214,-2
210000017708,-2
210000017715,-2
210000017721,-2
210000017724,-2
210000018071,-2
210000018161,-2
210000018494,-2
210000018498,-2
210000018517,-2
210000018535,-2
210000018539,-2
210000018540,-2
210000018541,-2
210000019346,-2
210000019845,-2
210000019846,-2
210000020011,-2
210000000007,-1
210000000159,-1
210000000241,-1
210000000295,-1
210000000337,-1
210000000958,-1
210000001016,-1
210000001041,-1
210000001129,-1
210000001348,-1
210000001378,-1
210000001384,-1
210000001406,-1
210000001419,-1
210000001438,-1
210000001439,-1
210000001444,-1
210000002934,-1
